,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,ownhome,pid3,voted_gov
40837,2,Male,32,Some College,White,30k - 40k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40839,27,Female,39,Some College,Hispanic,70k - 80k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
40842,39,Female,27,4-Year,Asian,80k - 100k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40844,44,Female,47,2-Year,Black,30k - 40k,Single / Never Married,Most of the time,Strongly Disapprove,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
40845,31,Male,55,4-Year,Black,50k - 60k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
40846,10,Male,76,High School Graduate,White,50k - 60k,Married,Some of the time,Strongly Disapprove,Very Conservative,Own,Other,[Republican / Candidate 2]
40851,43,Female,40,4-Year,Black,50k - 60k,Domestic Partnership,Hardly at all,Disapprove / Somewhat Disapprove,Moderate,Own,Democrat,[Democrat / Candidate 1]
40852,53,Female,29,2-Year,White,50k - 60k,Married,Most of the time,Never Heard / Not Sure,Moderate,Own,Independent,[Democrat / Candidate 1]
40854,51,Male,33,Some College,Hispanic,70k - 80k,Married,Some of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
40855,25,Female,32,2-Year,White,10k - 20k,Domestic Partnership,Some of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40857,12,Male,26,Some College,Hispanic,20k - 30k,Married,Most of the time,Approve / Somewhat Approve,Very Conservative,Own,Democrat,[Democrat / Candidate 1]
40858,53,Female,39,No HS,Hispanic,10k - 20k,Married,Some of the time,Strongly Disapprove,Not Sure,Rent,Republican,[Republican / Candidate 2]
40859,36,Female,55,Post-Grad,Mixed,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40862,49,Female,34,4-Year,Hispanic,50k - 60k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
40863,47,Female,59,2-Year,Black,30k - 40k,Divorced,Some of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Democrat,[Democrat / Candidate 1]
40865,33,Female,38,4-Year,Hispanic,40k - 50k,Separated,Some of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
40866,47,Female,26,4-Year,Black,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
40868,24,Male,25,Some College,Hispanic,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40869,27,Female,29,Post-Grad,Mixed,30k - 40k,Domestic Partnership,Only now and then,Never Heard / Not Sure,Liberal,Rent,Independent,[Democrat / Candidate 1]
40871,27,Female,31,4-Year,Hispanic,30k - 40k,Domestic Partnership,Some of the time,Strongly Approve,Moderate,Rent,Not Sure,I Did Not Vote In This Race
40872,46,Female,85,High School Graduate,White,50k - 60k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
40874,47,Female,29,4-Year,Black,20k - 30k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Not Sure,Rent,Democrat,[Democrat / Candidate 1]
40875,51,Female,25,Some College,Hispanic,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
40878,19,Male,29,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Conservative,Own,Republican,[Democrat / Candidate 1]
40880,7,Female,34,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
40882,3,Female,22,Some College,White,100k - 120k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
40883,8,Female,75,High School Graduate,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40884,34,Female,19,Some College,Hispanic,70k - 80k,Single / Never Married,Don't Know,Strongly Disapprove,Moderate,Rent,Not Sure,[Republican / Candidate 2]
40885,45,Female,44,Post-Grad,Mixed,100k - 120k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Other,[Democrat / Candidate 1]
40886,31,Female,38,4-Year,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
40887,20,Male,39,2-Year,Hispanic,100k - 120k,Married,Most of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
40888,30,Female,25,4-Year,Hispanic,40k - 50k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
40889,30,Male,65,Some College,Hispanic,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40890,21,Female,32,4-Year,White,120k - 150k,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
40893,19,Female,54,Some College,Hispanic,30k - 40k,Single / Never Married,Only now and then,Disapprove / Somewhat Disapprove,Moderate,Own,Democrat,[Democrat / Candidate 1]
40896,7,Female,28,2-Year,Hispanic,40k - 50k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
40897,43,Female,20,Some College,Hispanic,Less than 10k,Single / Never Married,Most of the time,Never Heard / Not Sure,Liberal,Rent,Republican,[Democrat / Candidate 1]
40899,52,Male,41,2-Year,Black,60k - 70k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
40901,16,Female,79,High School Graduate,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
40902,42,Female,42,4-Year,Black,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,Own,Independent,Not Sure
40903,51,Female,22,High School Graduate,Hispanic,50k - 60k,Married,Don't Know,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
40904,34,Male,35,4-Year,Asian,80k - 100k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,Own,Independent,[Democrat / Candidate 1]
40905,19,Male,29,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Conservative,Own,Democrat,[Democrat / Candidate 1]
40906,6,Male,28,4-Year,Hispanic,70k - 80k,Married,Some of the time,Strongly Disapprove,Moderate,Rent,Republican,[Republican / Candidate 2]
40907,6,Female,76,4-Year,Hispanic,100k - 120k,Divorced,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40911,34,Female,38,4-Year,Hispanic,60k - 70k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Conservative,Rent,Republican,[Democrat / Candidate 1]
40913,1,Female,31,2-Year,Hispanic,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
40914,6,Female,27,4-Year,Hispanic,40k - 50k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Democrat / Candidate 1]
40915,43,Male,20,Some College,Hispanic,120k - 150k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
40916,39,Female,59,2-Year,Hispanic,80k - 100k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Moderate,Own,Republican,[Republican / Candidate 2]
40922,10,Male,20,Some College,Asian,Prefer not to say,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
40923,8,Female,28,Some College,Hispanic,10k - 20k,Domestic Partnership,Hardly at all,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40924,1,Female,52,High School Graduate,White,20k - 30k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
40925,41,Female,30,2-Year,Asian,Less than 10k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
40927,9,Female,28,Some College,Hispanic,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Conservative,Rent,Democrat,[Democrat / Candidate 1]
40928,31,Female,26,Some College,Hispanic,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Conservative,Own,Democrat,[Democrat / Candidate 1]
40929,2,Female,31,Post-Grad,Black,70k - 80k,Married,Only now and then,Approve / Somewhat Approve,Conservative,Own,Democrat,[Democrat / Candidate 1]
40931,23,Female,34,4-Year,Hispanic,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40932,34,Female,30,Some College,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
40933,2,Male,37,High School Graduate,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
40937,13,Female,26,2-Year,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
40938,6,Male,28,High School Graduate,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Other,Democrat,[Democrat / Candidate 1]
40940,53,Male,45,4-Year,Black,100k - 120k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40941,50,Female,25,Some College,White,20k - 30k,Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40942,5,Female,28,Some College,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
40944,37,Male,27,Some College,Hispanic,30k - 40k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
40946,20,Female,22,High School Graduate,Hispanic,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40951,33,Female,19,Some College,Asian,150k+,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Own,Independent,[Democrat / Candidate 1]
40952,29,Female,30,4-Year,Hispanic,100k - 120k,Single / Never Married,Some of the time,Strongly Approve,Conservative,Own,Democrat,[Republican / Candidate 2]
40954,33,Female,21,Some College,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
40955,35,Female,67,High School Graduate,Black,50k - 60k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40957,42,Male,18,No HS,Hispanic,100k - 120k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Not Sure,Own,Democrat,[Democrat / Candidate 1]
40958,14,Female,20,High School Graduate,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
40961,20,Male,43,High School Graduate,Hispanic,10k - 20k,Domestic Partnership,Some of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
40962,51,Male,69,2-Year,Mixed,60k - 70k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40966,35,Female,30,Some College,Black,10k - 20k,Married,Only now and then,Strongly Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
40968,42,Male,28,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Other,Democrat,[Democrat / Candidate 1]
40969,51,Male,35,4-Year,Black,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40970,1,Male,64,High School Graduate,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Independent,[Republican / Candidate 2]
40972,18,Female,23,4-Year,White,100k - 120k,Single / Never Married,Only now and then,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40973,7,Male,63,High School Graduate,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
40974,41,Female,23,Some College,White,60k - 70k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
40975,25,Male,50,Some College,Hispanic,40k - 50k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
40976,47,Female,49,4-Year,Mixed,30k - 40k,Married,Some of the time,Strongly Disapprove,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
40977,46,Female,26,4-Year,Hispanic,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Other,Independent,[Democrat / Candidate 1]
40978,19,Female,28,4-Year,Asian,Less than 10k,Single / Never Married,Only now and then,Never Heard / Not Sure,Liberal,Rent,Democrat,[Democrat / Candidate 1]
40979,24,Male,29,4-Year,Hispanic,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
40981,19,Male,21,Some College,Hispanic,100k - 120k,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,Other,Democrat,[Democrat / Candidate 1]
40983,42,Female,41,4-Year,White,120k - 150k,Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Democrat,[Democrat / Candidate 1]
40985,29,Female,28,Post-Grad,White,Prefer not to say,Single / Never Married,Hardly at all,Never Heard / Not Sure,Liberal,Rent,Democrat,[Democrat / Candidate 1]
40988,12,Female,35,4-Year,Hispanic,120k - 150k,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Democrat,[Democrat / Candidate 1]
40990,32,Male,33,4-Year,Hispanic,100k - 120k,Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
40992,6,Female,27,Some College,Asian,Prefer not to say,Single / Never Married,Hardly at all,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
40994,35,Male,30,High School Graduate,Hispanic,70k - 80k,Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
40995,34,Male,55,2-Year,Hispanic,100k - 120k,Single / Never Married,Only now and then,Disapprove / Somewhat Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
40998,48,Female,51,4-Year,Hispanic,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
41000,39,Female,19,Some College,White,150k+,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
41001,34,Female,28,Some College,White,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41003,18,Female,29,4-Year,White,120k - 150k,Married,Some of the time,Never Heard / Not Sure,Moderate,Rent,Republican,[Democrat / Candidate 1]
41005,50,Female,69,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Republican,[Democrat / Candidate 1]
41006,7,Female,30,4-Year,White,Less than 10k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41009,3,Male,31,Some College,Black,20k - 30k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41010,22,Female,27,4-Year,Hispanic,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41011,4,Male,65,High School Graduate,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
41012,43,Female,25,4-Year,Black,40k - 50k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41014,39,Female,50,Some College,Hispanic,60k - 70k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41017,21,Female,19,2-Year,White,40k - 50k,Single / Never Married,Most of the time,Never Heard / Not Sure,Moderate,Other,Democrat,[Democrat / Candidate 1]
41018,13,Female,52,2-Year,Black,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Conservative,Rent,Democrat,[Democrat / Candidate 1]
41019,13,Female,35,4-Year,White,Less than 10k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,Not Sure
41020,45,Female,22,Some College,Asian,120k - 150k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41021,23,Female,26,2-Year,Asian,10k - 20k,Married,Only now and then,Approve / Somewhat Approve,Moderate,Own,Republican,[Republican / Candidate 2]
41023,47,Female,74,Some College,Black,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41024,30,Female,76,High School Graduate,White,60k - 70k,Married,Only now and then,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
41027,6,Female,25,High School Graduate,Mixed,10k - 20k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Not Sure,Rent,Independent,[Democrat / Candidate 1]
41031,48,Male,26,4-Year,Hispanic,70k - 80k,Single / Never Married,Some of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
41033,53,Female,28,2-Year,Asian,Less than 10k,Single / Never Married,Don't Know,Never Heard / Not Sure,Very Liberal,Rent,Not Sure,[Democrat / Candidate 1]
41034,30,Female,24,4-Year,White,80k - 100k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41036,21,Male,26,2-Year,Hispanic,Less than 10k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41041,52,Female,29,4-Year,Asian,150k+,Single / Never Married,Only now and then,Never Heard / Not Sure,Conservative,Own,Republican,[Republican / Candidate 2]
41042,12,Female,26,4-Year,Asian,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Independent,[Democrat / Candidate 1]
41043,2,Female,38,Some College,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
41044,30,Male,53,Some College,Black,70k - 80k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
41046,39,Male,20,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41047,7,Male,75,High School Graduate,White,20k - 30k,Widowed,Hardly at all,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
41048,52,Female,56,2-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
41050,44,Female,29,Post-Grad,Asian,30k - 40k,Married,Only now and then,Disapprove / Somewhat Disapprove,Conservative,Rent,Republican,Not Sure
41052,45,Female,24,Post-Grad,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,Rent,Other,[Democrat / Candidate 1]
41054,4,Female,36,Some College,White,Less than 10k,Single / Never Married,Some of the time,Strongly Disapprove,Very Liberal,Rent,Not Sure,[Republican / Candidate 2]
41057,24,Female,55,High School Graduate,White,30k - 40k,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,Rent,Republican,Not Sure
41059,34,Female,22,Some College,Mixed,60k - 70k,Single / Never Married,Hardly at all,Disapprove / Somewhat Disapprove,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41060,52,Female,30,Some College,White,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,Rent,Independent,[Republican / Candidate 2]
41062,16,Male,41,High School Graduate,Hispanic,Less than 10k,Separated,Most of the time,Approve / Somewhat Approve,Very Conservative,Own,Democrat,[Democrat / Candidate 1]
41066,1,Female,24,High School Graduate,White,120k - 150k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,Other,Republican,[Republican / Candidate 2]
41067,27,Female,27,4-Year,White,30k - 40k,Single / Never Married,Only now and then,Strongly Disapprove,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41068,50,Male,26,4-Year,White,120k - 150k,Single / Never Married,Don't Know,Never Heard / Not Sure,Liberal,Own,Democrat,Not Sure
41069,32,Female,28,4-Year,Asian,150k+,Domestic Partnership,Only now and then,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
41071,8,Female,28,Some College,Hispanic,Less than 10k,Domestic Partnership,Some of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41072,6,Female,33,Some College,Black,20k - 30k,Single / Never Married,Hardly at all,Never Heard / Not Sure,Moderate,Rent,Independent,[Democrat / Candidate 1]
41074,34,Male,23,2-Year,Hispanic,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
41076,41,Male,28,Some College,White,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Other,[Democrat / Candidate 1]
41077,9,Female,39,4-Year,White,50k - 60k,Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
41078,5,Female,26,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41080,51,Female,20,Some College,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Strongly Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41081,7,Female,28,2-Year,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41084,46,Female,34,2-Year,Native American,60k - 70k,Married,Only now and then,Strongly Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
41085,36,Female,20,Some College,Hispanic,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41086,3,Male,36,Some College,Native American,80k - 100k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
41087,46,Female,32,4-Year,Hispanic,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Other,Democrat,[Democrat / Candidate 1]
41088,36,Male,73,High School Graduate,Hispanic,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
41089,43,Female,50,4-Year,Black,Prefer not to say,Domestic Partnership,Only now and then,Approve / Somewhat Approve,Moderate,Own,Republican,[Democrat / Candidate 1]
41090,28,Male,25,Some College,Hispanic,70k - 80k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
41091,23,Male,46,Some College,Black,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
41092,9,Male,38,High School Graduate,Hispanic,Less than 10k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41093,30,Female,22,Some College,Hispanic,10k - 20k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41094,28,Male,43,High School Graduate,Black,50k - 60k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41096,13,Male,25,High School Graduate,Hispanic,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Other,[Democrat / Candidate 1]
41098,1,Female,25,4-Year,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41099,16,Female,22,Post-Grad,Hispanic,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Republican / Candidate 2]
41101,15,Female,43,2-Year,White,80k - 100k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
41102,45,Male,28,Post-Grad,Mixed,50k - 60k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
41105,10,Male,29,4-Year,White,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
41106,45,Male,25,4-Year,Asian,30k - 40k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
41107,6,Female,25,Post-Grad,Asian,20k - 30k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
41108,26,Female,44,4-Year,Hispanic,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
41110,5,Female,26,Post-Grad,White,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
41111,37,Female,25,4-Year,Asian,Prefer not to say,Single / Never Married,Only now and then,Never Heard / Not Sure,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41113,27,Male,38,High School Graduate,Hispanic,120k - 150k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
41114,1,Female,27,2-Year,White,60k - 70k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
41115,42,Male,46,Some College,Black,30k - 40k,Divorced,Hardly at all,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
41116,52,Female,27,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41117,12,Female,26,4-Year,Asian,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41118,52,Male,29,High School Graduate,White,Less than 10k,Married,Hardly at all,Strongly Approve,Very Conservative,Own,Republican,[Republican / Candidate 2]
41119,6,Male,28,4-Year,Asian,150k+,Domestic Partnership,Only now and then,Approve / Somewhat Approve,Conservative,Rent,Democrat,[Democrat / Candidate 1]
41121,52,Female,27,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
41123,20,Male,29,4-Year,Hispanic,40k - 50k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
41124,7,Male,46,Some College,Mixed,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Republican,[Republican / Candidate 2]
41126,38,Female,31,4-Year,Hispanic,70k - 80k,Single / Never Married,Some of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
41128,14,Female,18,Some College,Asian,150k+,Single / Never Married,Most of the time,Never Heard / Not Sure,Very Liberal,Other,Democrat,[Democrat / Candidate 1]
41129,11,Female,26,2-Year,Hispanic,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
41130,25,Male,33,Some College,Black,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
