,dist,cong,gender,birthyr,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
416402,7,115,Female,1957,61,2-Year,White,60k - 70k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
416403,10,115,Male,1967,51,2-Year,White,70k - 80k,Married,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2]
416430,27,115,Female,1972,46,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416467,25,115,Female,1979,39,Post-Grad,Mixed,120k - 150k,Widowed,Some of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Democrat / Candidate 1]
416497,27,115,Male,1982,36,Post-Grad,Hispanic,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
416501,22,115,Male,1947,71,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416520,8,115,Female,1954,64,Some College,White,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
416550,53,115,Female,1977,41,4-Year,White,100k - 120k,Married,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2]
416621,22,115,Male,1968,50,4-Year,Hispanic,50k - 60k,Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
416632,1,115,Female,1974,44,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
416655,2,115,Female,1972,46,Post-Grad,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
416675,12,115,Male,1959,59,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
416682,53,115,Female,1961,57,Some College,White,80k - 100k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
416686,36,115,Female,1952,66,High School Graduate,White,10k - 20k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
416700,15,115,Female,1969,49,4-Year,White,100k - 120k,Married,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2]
416703,9,115,Female,1958,60,Post-Grad,Black,20k - 30k,Divorced,Only now and then,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
416705,38,115,Female,1986,32,Post-Grad,White,80k - 100k,Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
416708,35,115,Female,1965,53,Some College,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
416710,45,115,Female,1975,43,2-Year,Asian,50k - 60k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
416715,11,115,Male,1958,60,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Moderate,Other
416717,31,115,Female,1965,53,4-Year,White,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
416720,5,115,Female,1970,48,4-Year,White,20k - 30k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
416730,30,115,Female,1965,53,Some College,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416747,12,115,Male,1954,64,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416784,2,115,Female,1931,87,4-Year,Hispanic,50k - 60k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
416799,53,115,Female,1960,58,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416802,8,115,Female,1943,75,Some College,White,20k - 30k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Democrat / Candidate 1]
416808,26,115,Female,1967,51,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
416814,27,115,Female,1962,56,No HS,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
416828,13,115,Female,1957,61,4-Year,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
416839,43,115,Female,1960,58,2-Year,White,40k - 50k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
416863,17,115,Female,1973,45,Post-Grad,White,150k+,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
416876,9,115,Female,1958,60,High School Graduate,White,70k - 80k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
416895,46,115,Female,1942,76,2-Year,Asian,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
416900,9,115,Female,1964,54,2-Year,White,70k - 80k,Married,Some of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
416932,28,115,Female,1982,36,4-Year,White,120k - 150k,Married,Some of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
416938,51,115,Female,1967,51,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
416940,5,115,Male,1979,39,Post-Grad,White,30k - 40k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
416947,53,115,Female,1986,32,4-Year,Black,50k - 60k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
416978,9,115,Female,1975,43,Post-Grad,White,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
416987,38,115,Female,1931,87,Some College,Hispanic,100k - 120k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
416998,46,115,Male,1962,56,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
417029,35,115,Female,1977,41,Post-Grad,White,60k - 70k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417036,18,115,Female,1954,64,Post-Grad,White,40k - 50k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417037,2,115,Male,1981,37,Some College,White,70k - 80k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
417057,53,115,Male,1981,37,Some College,White,120k - 150k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
417081,46,115,Female,1950,68,High School Graduate,White,30k - 40k,Separated,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417103,13,115,Male,1954,64,Post-Grad,Hispanic,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
417130,31,115,Male,1971,47,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417132,15,115,Male,1977,41,Post-Grad,Native American,Prefer not to say,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
417139,6,115,Female,1958,60,2-Year,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417145,22,115,Male,1983,35,4-Year,Mixed,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417148,2,115,Male,1977,41,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
417153,43,115,Female,1979,39,2-Year,Other,50k - 60k,Married,Only now and then,Strongly Disapprove,Liberal,[Democrat / Candidate 1]
417177,27,115,Female,1964,54,Post-Grad,White,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
417178,3,115,Female,1981,37,2-Year,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417181,28,115,Female,1977,41,Post-Grad,White,40k - 50k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417211,18,115,Male,1964,54,Post-Grad,White,100k - 120k,Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
417225,26,115,Male,1970,48,High School Graduate,Mixed,120k - 150k,Married,Most of the time,Strongly Disapprove,Liberal,[Democrat / Candidate 1]
417241,44,115,Female,1967,51,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417250,15,115,Female,1958,60,4-Year,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417267,1,115,Male,1965,53,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
417278,41,115,Female,1957,61,4-Year,White,40k - 50k,Widowed,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417280,41,115,Male,1959,59,High School Graduate,Hispanic,60k - 70k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417308,2,115,Female,1942,76,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
417309,47,115,Male,1964,54,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417311,43,115,Male,1964,54,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
417323,16,115,Female,1974,44,2-Year,White,60k - 70k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
417328,15,115,Female,2000,18,High School Graduate,Asian,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417333,6,115,Female,1982,36,2-Year,Hispanic,50k - 60k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417344,45,115,Male,1993,25,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417346,53,115,Female,1966,52,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
417351,51,115,Male,1962,56,2-Year,White,10k - 20k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
417369,12,115,Male,1959,59,Post-Grad,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417408,29,115,Female,1983,35,Post-Grad,Hispanic,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417416,32,115,Male,1986,32,Some College,Hispanic,60k - 70k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
417426,32,115,Female,1991,27,Some College,Hispanic,50k - 60k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
417459,5,115,Female,1986,32,4-Year,Asian,30k - 40k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417475,23,115,Male,1991,27,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
417504,42,115,Female,1949,69,2-Year,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
417588,7,115,Female,1945,73,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417619,38,115,Male,1965,53,Some College,White,70k - 80k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
417629,16,115,Male,1983,35,Post-Grad,Hispanic,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417708,12,115,Male,1967,51,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
417789,17,115,Male,1956,62,Post-Grad,Asian,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417834,2,115,Female,1939,79,2-Year,White,40k - 50k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
417892,11,115,Female,1966,52,Post-Grad,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417921,4,115,Female,1948,70,Some College,White,50k - 60k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417936,14,115,Female,1986,32,4-Year,White,150k+,Married,Hardly at all,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417937,15,115,Female,1943,75,Some College,White,40k - 50k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
417938,18,115,Male,1984,34,Some College,White,100k - 120k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
417958,12,115,Male,1988,30,4-Year,Mixed,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
417985,35,115,Female,1957,61,Some College,White,20k - 30k,Divorced,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
417990,8,115,Female,1942,76,2-Year,Hispanic,20k - 30k,Widowed,Hardly at all,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418001,20,115,Male,1962,56,High School Graduate,Hispanic,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
418002,11,115,Female,1961,57,Post-Grad,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,I Did Not Vote In This Race
418033,6,115,Female,1955,63,Some College,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418034,15,115,Male,1940,78,Post-Grad,Hispanic,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418066,26,115,Male,1983,35,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418071,51,115,Female,1949,69,Some College,White,Prefer not to say,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418074,36,115,Female,1958,60,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418078,36,115,Male,1967,51,4-Year,White,100k - 120k,Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418090,12,115,Male,1978,40,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418123,37,115,Male,1976,42,2-Year,Asian,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418127,43,115,Female,1952,66,2-Year,White,80k - 100k,Separated,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418160,26,115,Female,1954,64,Post-Grad,White,30k - 40k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418165,4,115,Female,1969,49,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418168,5,115,Female,1952,66,Some College,White,150k+,Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418187,28,115,Female,1989,29,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418204,22,115,Female,1970,48,2-Year,White,50k - 60k,Married,Hardly at all,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
418211,6,115,Male,1960,58,4-Year,Black,100k - 120k,Divorced,Most of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1]
418222,15,115,Female,1944,74,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418235,4,115,Male,1955,63,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
418276,26,115,Female,1941,77,Some College,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418320,10,115,Female,1971,47,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418322,2,115,Female,1982,36,High School Graduate,White,60k - 70k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418338,42,115,Male,1990,28,High School Graduate,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
418350,14,115,Male,1960,58,Post-Grad,White,150k+,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418354,8,115,Male,1958,60,High School Graduate,White,20k - 30k,Domestic Partnership,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418355,2,115,Male,1965,53,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418373,3,115,Female,1958,60,Some College,White,30k - 40k,Widowed,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418374,4,115,Female,1943,75,Some College,White,40k - 50k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
418385,33,115,Male,1970,48,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418388,41,115,Male,1959,59,2-Year,White,20k - 30k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
418404,22,115,Female,1974,44,Some College,White,30k - 40k,Divorced,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418414,12,115,Female,1979,39,Some College,White,40k - 50k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418417,28,115,Female,1939,79,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418433,8,115,Male,1991,27,High School Graduate,Asian,20k - 30k,Married,Some of the time,Never Heard / Not Sure,Very Liberal,[Democrat / Candidate 1]
418441,19,115,Female,1991,27,4-Year,Hispanic,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418446,4,115,Female,1935,83,2-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418474,28,115,Female,1925,93,2-Year,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Liberal,[Democrat / Candidate 1]
418507,9,115,Male,1972,46,Some College,White,10k - 20k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418521,15,115,Female,1958,60,4-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418526,28,115,Female,1976,42,4-Year,Asian,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418529,8,115,Female,1931,87,Some College,White,Prefer not to say,Widowed,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418540,7,115,Female,1961,57,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418544,36,115,Female,1959,59,4-Year,Asian,20k - 30k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
418548,3,115,Male,1964,54,Some College,White,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418561,42,115,Female,1954,64,Some College,Hispanic,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418591,24,115,Female,1960,58,High School Graduate,White,30k - 40k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418596,28,115,Male,2000,18,High School Graduate,White,100k - 120k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418656,41,115,Male,1982,36,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418689,39,115,Female,1948,70,High School Graduate,White,20k - 30k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
418747,40,115,Female,1967,51,4-Year,Hispanic,80k - 100k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
418752,41,115,Male,1996,22,Some College,White,120k - 150k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418753,10,115,Female,1988,30,Post-Grad,Hispanic,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418759,20,115,Male,1966,52,4-Year,Hispanic,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
418807,35,115,Male,1956,62,High School Graduate,Hispanic,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418838,20,115,Female,1963,55,Post-Grad,White,10k - 20k,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
418892,36,115,Male,1958,60,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418912,12,115,Male,1975,43,4-Year,Asian,120k - 150k,Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
418918,22,115,Male,1975,43,Post-Grad,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418919,4,115,Female,1977,41,2-Year,Hispanic,150k+,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
418924,39,115,Male,1981,37,4-Year,Asian,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
418925,3,115,Female,1967,51,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418934,43,115,Female,1963,55,Post-Grad,Other,40k - 50k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
418943,45,115,Female,1959,59,2-Year,White,60k - 70k,Married,Only now and then,Strongly Disapprove,Moderate,[Democrat / Candidate 1]
418954,22,115,Female,1953,65,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
418965,21,115,Female,1955,63,Post-Grad,White,70k - 80k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
418969,3,115,Male,1944,74,No HS,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418970,13,115,Female,1967,51,Some College,Black,Less than 10k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
418981,7,115,Female,1984,34,Some College,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
418983,25,115,Female,1967,51,2-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
419003,35,115,Female,1981,37,High School Graduate,Other,80k - 100k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
419013,3,115,Male,1984,34,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
419030,27,115,Female,1959,59,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
419059,6,115,Male,1982,36,Some College,Mixed,80k - 100k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419090,53,115,Female,1993,25,Post-Grad,White,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
419147,38,115,Female,1959,59,Some College,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419152,31,115,Male,1967,51,Some College,Hispanic,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
419224,46,115,Male,1974,44,High School Graduate,Hispanic,50k - 60k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
419295,3,115,Female,1988,30,4-Year,Hispanic,50k - 60k,Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
419418,10,115,Female,1966,52,Some College,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419453,8,115,Female,1957,61,Post-Grad,White,60k - 70k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419497,8,115,Male,1961,57,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419498,41,115,Male,1951,67,4-Year,Asian,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
419512,53,115,Male,1961,57,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419526,23,115,Male,1964,54,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419549,36,115,Male,1957,61,4-Year,White,70k - 80k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419594,28,115,Female,1963,55,Some College,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
419611,24,115,Male,1961,57,High School Graduate,Mixed,70k - 80k,Single / Never Married,Some of the time,Strongly Disapprove,Very Liberal,[Democrat / Candidate 1]
419620,31,115,Female,1982,36,Some College,White,40k - 50k,Domestic Partnership,Hardly at all,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
419627,35,115,Male,1961,57,2-Year,White,150k+,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419660,6,115,Male,1955,63,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
419669,4,115,Female,1961,57,Some College,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419689,33,115,Female,1961,57,2-Year,White,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
419692,24,115,Male,1953,65,Post-Grad,White,70k - 80k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
419697,14,115,Female,1966,52,Post-Grad,White,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419706,39,115,Female,1992,26,4-Year,Mixed,70k - 80k,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
419725,45,115,Female,1946,72,Post-Grad,Asian,150k+,Married,Most of the time,Never Heard / Not Sure,Moderate,[Democrat / Candidate 1]
419748,24,115,Female,1964,54,4-Year,White,150k+,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419756,45,115,Female,1948,70,High School Graduate,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419767,6,115,Male,1966,52,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
419770,37,115,Female,1975,43,Post-Grad,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
419782,21,115,Female,1962,56,Some College,Mixed,30k - 40k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
419796,18,115,Female,1961,57,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
